BenchName,Algo,Critical Compensate,Validation level,WW allowed,Store enabled,Cuckoo enabled,ConflictFraction,NumFeeAccounts,NumProgs,NumThreads,Duration(ms),Committed,FailedEx,FailedVal,FailedExRate,FailedValRate,Throughput(ktps),ScaledTime,numValidations,numValAgainst,avgValAgainst,AvgValRound,Exec time(ms),Val time(ms),Commit Time(ms),Compensate Time(ms),T0-T finished,T0-T failedEx,T0-TfailedVal,T0-TNC finished,T0-TNC failedEx,T0-TNCfailedVal,T1-T finished,T1-T failedEx,T1-TfailedVal,T1-TNC finished,T1-TNC failedEx,T1-TNCfailedVal,T2-T finished,T2-T failedEx,T2-TfailedVal,T2-TNC finished,T2-TNC failedEx,T2-TNCfailedVal,T3-T finished,T3-T failedEx,T3-TfailedVal,T3-TNC finished,T3-TNC failedEx,T3-TNCfailedVal,T4-T finished,T4-T failedEx,T4-TfailedVal,T4-TNC finished,T4-TNC failedEx,T4-TNCfailedVal
Banking,OMVCC,X,R,N,N,N,0.2,1,50000,5,101.511,44063,17861,0,0.405351,0,434,115.188,44063,111355,2.52718,1.13837,0,0,0,0,1794,3502,0,7097,0,0,1813,3616,0,7081,0,0,1608,3581,0,6623,0,0,1638,3769,0,6413,0,0,2024,3393,0,7972,0,0
Banking,MV3C,Y,R,Y,N,N,0.2,1,50000,5,56.784,44083,0,5799,0,0.131547,776,64.4058,44083,175262,3.97573,9.03366,0,0,0,0,1664,0,1078,6500,0,0,1692,0,1132,6630,0,0,1725,0,1166,7186,0,0,2011,0,1217,7990,0,0,1783,0,1206,6902,0,0
Banking,OMVCC,X,R,N,N,N,0.3,1,50000,5,139.085,44773,37439,0,0.836196,0,321,155.322,44773,75513,1.68657,1.08146,0,0,0,0,3028,7030,0,6973,0,0,2855,7138,0,6575,0,0,2827,7366,0,6645,0,0,2216,8168,0,4857,0,0,2677,7737,0,6120,0,0
Banking,MV3C,Y,R,Y,N,N,0.3,1,50000,5,64.595,46534,0,11258,0,0.241931,720,69.4062,46534,184842,3.97219,13.5226,0,0,0,0,2839,0,2323,6559,0,0,2745,0,2275,6350,0,0,2561,0,2127,5989,0,0,3080,0,2207,6921,0,0,2867,0,2326,6623,0,0
Banking,OMVCC,X,R,N,N,N,0.4,1,50000,5,180.298,42189,51961,0,1.23162,0,233,213.679,42189,50682,1.20131,1.03624,0,0,0,0,3840,10170,0,5698,0,0,3145,10597,0,4645,0,0,2973,10655,0,4439,0,0,3022,10606,0,4431,0,0,4026,9933,0,5970,0,0
Banking,MV3C,Y,R,Y,N,N,0.4,1,50000,5,67.503,45506,0,15996,0,0.351514,674,74.1693,45506,180583,3.96833,17.546,0,0,0,0,4039,0,3092,5962,0,0,3707,0,3330,5423,0,0,3526,0,3195,5335,0,0,3522,0,3197,5189,0,0,3580,0,3182,5223,0,0
Banking,OMVCC,X,R,N,N,N,0.5,1,50000,5,196.6,41012,56144,0,1.36897,0,208,239.686,41012,38924,0.949088,1.00683,0,0,0,0,4360,11132,0,4345,0,0,5080,10696,0,4921,0,0,3500,11409,0,3515,0,0,3736,11454,0,3658,0,0,4004,11453,0,3893,0,0
Banking,MV3C,Y,R,Y,N,N,0.5,1,50000,5,66.491,44877,0,20730,0,0.461929,674,74.0814,44877,178350,3.9742,18.3739,0,0,0,0,5037,0,4128,4964,0,0,4189,0,3939,4033,0,0,4331,0,4107,4388,0,0,4534,0,4285,4447,0,0,4522,0,4271,4432,0,0
Banking,OMVCC,X,R,N,N,N,0.6,1,50000,5,257.69,40786,83849,0,2.05583,0,158,315.905,40786,23180,0.568332,1.01454,0,0,0,0,3856,17375,0,2554,0,0,5721,16149,0,3715,0,0,5970,16081,0,4031,0,0,4135,17442,0,2660,0,0,4909,16802,0,3235,0,0
Banking,MV3C,Y,R,Y,N,N,0.6,1,50000,5,73.199,46594,0,26583,0,0.570524,636,78.5498,46594,185208,3.97493,20.0088,0,0,0,0,5909,0,5708,3835,0,0,5776,0,5597,3750,0,0,5234,0,5139,3544,0,0,5188,0,5077,3362,0,0,6002,0,5062,3994,0,0
Banking,OMVCC,X,R,N,N,N,0.7,1,50000,5,277.226,39703,93394,0,2.35232,0,143,349.125,39703,19715,0.496562,1.00474,0,0,0,0,6338,18190,0,2627,0,0,5365,18737,0,2275,0,0,4467,19284,0,1956,0,0,4707,19062,0,1972,0,0,6967,18121,0,3029,0,0
Banking,MV3C,Y,R,Y,N,N,0.7,1,50000,5,73.549,44451,0,29973,0,0.674293,604,82.7304,44451,177150,3.98529,20.0162,0,0,0,0,7066,0,6082,2935,0,0,5806,0,5750,2466,0,0,5932,0,5867,2564,0,0,6016,0,5952,2499,0,0,6406,0,6322,2761,0,0
Banking,OMVCC,X,R,N,N,N,0.8,1,50000,5,311.887,30317,69288,0,2.28545,0,97,514.376,30317,9076,0.29937,1.00106,0,0,0,0,5760,14146,0,1424,0,0,4121,14316,0,1017,0,0,3691,14354,0,966,0,0,2687,14008,0,655,0,0,7991,12464,0,2005,0,0
Banking,MV3C,Y,R,Y,N,N,0.8,1,50000,5,87.372,46466,0,36060,0,0.776051,531,94.0171,46466,185327,3.98844,24.7275,0,0,0,0,8032,0,6952,1969,0,0,6942,0,6921,1711,0,0,7100,0,7073,1809,0,0,7602,0,7565,1823,0,0,7587,0,7549,1891,0,0
Banking,OMVCC,X,R,N,N,N,0.9,1,50000,5,253.835,31561,82056,0,2.59992,0,124,402.134,31561,4438,0.140617,1.00044,0,0,0,0,5744,16360,0,632,0,0,4833,16823,0,511,0,0,4540,16774,0,514,0,0,4308,16532,0,483,0,0,8983,15567,0,1013,0,0
Banking,MV3C,Y,R,Y,N,N,0.9,1,50000,5,85.488,45214,0,39650,0,0.876941,528,94.5371,45214,180623,3.99485,21.8971,0,0,0,0,8094,0,8077,886,0,0,7563,0,7556,814,0,0,7708,0,7700,842,0,0,9022,0,7961,979,0,0,8373,0,8356,933,0,0
Banking,OMVCC,X,R,N,N,N,1,1,50000,5,349.003,36465,124131,0,3.40411,0,104,478.545,36465,0,0,1,0,0,0,0,8271,24197,0,0,0,0,5864,25718,0,0,0,0,5424,25623,0,0,0,0,6910,24956,0,0,0,0,9996,23637,0,0,0,0
Banking,MV3C,Y,R,Y,N,N,1,1,50000,5,92.794,46300,0,45042,0,0.972829,498,100.21,46300,185175,3.99946,23.6032,0,0,0,0,10001,0,8744,0,0,0,8631,0,8630,0,0,0,8890,0,8890,0,0,0,9430,0,9430,0,0,0,9348,0,9348,0,0,0
